_docId,sigla,tipo,targa,radio,statoMezzo,operativo,noteOperativo,stazionamentoPredefinito,stazione_indirizzo,stazione_luogo_fisico,dettaglio_stazionamento,posizioneReale_lat,posizioneReale_lng,creatoIl,stazionamento,manifestationId,idUnivoco,stazionamentoId,equipaggio,coordinate_stazionamento,posizioneReale
AAT_LC_COORD,AAT_LC_COORD,COORDINAMENTO,,,Non disponibile,true,,false,"Piazza degli Affari, 23900 Lecco LC",,,,,"31/05/2026, 17:06:54","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Piazza degli Affari, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240013851_ujzbz,49d5d2d7-899f-41e7-913f-160507e03925,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
AREU_MSA1,AREU_MSA1,AREU_MSA,,,Non disponibile,true,,false,"Via Filanda, 10, 23900 Lecco LC",,,,,"31/05/2026, 17:06:58","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Via Filanda, 10, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240018230_g0vk4,f36b63c6-9f70-471d-b2ee-f35850fd66d9,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
AREU_MSA2,AREU_MSA2,AREU_MSA,,,Non disponibile,true,,false,"Via Filanda, 10, 23900 Lecco LC",,,,,"31/05/2026, 17:06:58","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Via Filanda, 10, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240017960_fm88d,f36b63c6-9f70-471d-b2ee-f35850fd66d9,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
AREU_MSB_1,AREU_MSB_1,MSB,,,Non disponibile,true,,false,"Via Filanda, 10, 23900 Lecco LC",,,,,"31/05/2026, 17:06:58","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Via Filanda, 10, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240018350_dxw14,f36b63c6-9f70-471d-b2ee-f35850fd66d9,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
AREU_MSB_2,AREU_MSB_2,MSB,,,Non disponibile,true,,false,"Via Filanda, 10, 23900 Lecco LC",,,,,"31/05/2026, 17:06:58","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Via Filanda, 10, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240018459_j6287,f36b63c6-9f70-471d-b2ee-f35850fd66d9,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}","{""x"":53.3,""y"":76.8}",
CNSAS_BEDOLETTA,CNSAS_BEDOLETTA,CNSAS,,,Disponibile,true,,true,,,,,,"31/05/2026, 17:06:59","{""luogo_fisico"":"""",""note"":"""",""indirizzo"":"""",""coordinate"":null}",Lr4XjZMr4UWWJWD2m0iW,1780240018926_2nkfv,db2d2ffe-5579-47cd-bc46-a1291c82c087,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}","{""x"":52.9,""y"":38.6}",
CNSAS_COORD,CNSAS_COORD,COORDINAMENTO,,,Disponibile,true,,false,"Via Buozzi Bruno, 36, 23900 Lecco LC",,,,,"31/05/2026, 17:06:58","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""Via Buozzi Bruno, 36, 23900 Lecco LC""}",Lr4XjZMr4UWWJWD2m0iW,1780240018601_es964,c7cb257a-21ba-4d66-afd6-f59d6deaa8ce,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CNSAS_ERNA,CNSAS_ERNA,CNSAS,,,Disponibile,true,,false,,,,,,"31/05/2026, 17:06:59","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""""}",Lr4XjZMr4UWWJWD2m0iW,1780240019632_4mnna,1876e1b5-397f-4927-b994-e44bc5dfa5f8,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CNSAS_FORBESETTE,CNSAS_FORBESETTE,CNSAS,,,Disponibile,true,,false,,,,,,"31/05/2026, 17:06:59","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""""}",Lr4XjZMr4UWWJWD2m0iW,1780240019370_5djeq,18d7adf7-1ad7-410b-b506-59c587aaf38c,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
CNSAS_GIUFF,CNSAS_GIUFF,CNSAS,,,Disponibile,true,,false,,,,,,"31/05/2026, 17:06:59","{""luogo_fisico"":"""",""note"":"""",""coordinate"":null,""indirizzo"":""""}",Lr4XjZMr4UWWJWD2m0iW,1780240019519_eboox,dc6795c7-3323-4791-bc55-aa42c7e9c8ed,"{""autista"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""medico"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore2"":{""cognome"":"""",""nome"":"""",""telefono"":""""},""soccorritore1"":{""cognome"":"""",""nome"":"""",""telefono"":""""}}",,
